account	userType	voiBalance	viaBalance
DPASNTA6SV3XZMAKY5CFUNXJQAXMRAQ3EU6OT2KEPIUZF2JDBEYO6Z37TA	snapshot	23521766491	3852183452808
S44E2Q7G4GTIRZFC744A3Z4TWYKLXWJSNE2H52PPYHDVGGTBHKPTQTUSJE	snapshot	3864362276143	0
NOOBCIJETEMWKOKEHA6M25KJFHIZDHAKSLWHKQEL7BUJ573E6FY33JDU2A	snapshot	3860399342486	0
XTAC5MW7A3DJHYM3E4GLE5TGSG2NVMXNDCDRZD5TB6CFWDHNJ26YNBPDZQ	snapshot	3853132612106	0
CTW5TERGQ3R75WEKZH225MTTXNPX7RNT7YQPO5M4NZZ5RW4SKHS7LIH5HE	snapshot	3843363374866	0
DUJVPL4TKRAHMIS6G7REUYLSBE3IB3XGWB3UZRUNJKAMKM7CJUDAPUBSII	snapshot	3840784725856	0
ICV3S3BLZRPGE3LMJARV3AH7JQD23EXPHVZIOCXWHQKILNG5RPPHPWBMLU	snapshot	3839994649770	0
KCBKXMOAYSUFPBQUYTGJTIGCYIFXZC2FQDZ3HRXUZNHRUDQDBKWYP5Z4OM	snapshot	3816352273426	22262677451
UPOHVNJVID64ASF5NNDVP7AD6NS4AIO7IVLABAGOIPRRNZXGPLMTAFOYMI	snapshot	3837636461242	0
TEISU4GTMXFEDOQLMAQZHFWBWANXRGAG2KTPJCFKZOTK47FAR3BUFFN4XM	snapshot	3819768271836	0
WJAMZRISXKHB62R6XMB7REAT5PAO7SQHFLGLSJRP62WDR52FR4PBYBQLGA	snapshot	3813899021996	0
I4LZAVVELFA44JG6WOJXKGVV7S44MZJZTD2M2UMGLTY5DKS4S56P7NPP7A	snapshot	3812282218357	708405181
F7MDLV3KL6OE7EZDG5HCIWDS2NEYKAOJWUTIFUCETGOLKXXRJ2VQW7WJAE	snapshot	34701004011	3774036509413
PEACET4BV4AIUMZT2EHXPI5PR6NT6HKPA2FNLOMS2NILIUKRPTYAGVG7IQ	snapshot	3805177401009	17183789
KUNLFEIZM4DIQALHP47XCQIFBMNUFXK2QJOAKQR5H22I4BRKIH7UTBXADE	snapshot	3804009299414	1000000000
G6LPPXMK5DQ3O3SUJH5Y7OPG52ULOD44NBP62V5IUOT3KPG53PYAX6A2H4	snapshot	3803301415927	0
